date time, L, E0 equiv, E1 equiv, E2 equiv, P6 equiv
2018-12-31 07:21:43.048000, 4.96, 20.351237001802204, 14.711033275881777, 4.408180311542653, 0.2108595869356103
2018-12-31 07:21:44.048000, 4.98, 26.800572671387457, 19.37298044077392, 5.805138860975193, 0.27768128702083944
2018-12-31 07:21:45.048000, 5.01, 34.04460044814438, 23.99123710003975, 6.571438516650227, 0.26720363174046047
2018-12-31 07:21:46.048000, 5.04, 27.514063053605355, 21.726435027053455, 8.71762260611283, 0.8067386833332586
2018-12-31 07:21:47.048000, 5.06, 32.474310914271044, 24.593872091191123, 8.638074049557623, 0.573785479116975
2018-12-31 07:21:48.048000, 5.09, 40.78518351969699, 30.583491374276214, 10.392961197180092, 0.6415580345442655
2018-12-31 07:21:49.048000, 5.12, 42.6325264191998, 31.671892543485743, 10.429101792253833, 0.6019030315591795
2018-12-31 07:21:50.048000, 5.14, 45.899445035254594, 34.76117116799638, 12.209121422000441, 0.8109928838915902
2018-12-31 07:21:51.048000, 5.17, 51.512378670455384, 37.94324648149589, 12.135137688651241, 0.6594885703844857
2018-12-31 07:21:52.048000, 5.2, 55.60760532886804, 40.196344443958694, 12.044887048440499, 0.5761515474015273
2018-12-31 07:21:53.048000, 5.23, 47.30206380090213, 36.07335264387268, 12.963210660720199, 0.9076082335321483
2018-12-31 07:21:54.048000, 5.26, 47.889243578146676, 35.72252783429634, 11.92656077302697, 0.7087243986741147
2018-12-31 07:21:55.048000, 5.29, 53.006151617633364, 39.43261895611867, 13.045243977895884, 0.7603028790403668
2018-12-31 07:21:56.048000, 5.32, 52.90215694810486, 38.733789643894625, 12.134804200841028, 0.6327116346364354
2018-12-31 07:21:57.048000, 5.35, 50.71725597196324, 37.781177183954384, 12.556598207122038, 0.7389819992855857
2018-12-31 07:21:58.048000, 5.38, 49.09563951039155, 35.722236604566504, 10.951168558484502, 0.5472210527553243
2018-12-31 07:21:59.048000, 5.41, 47.353745042471395, 34.776665722760136, 11.009542962457695, 0.5861330811436481
2018-12-31 07:22:00.048000, 5.44, 47.37007810894707, 33.887754578187376, 9.790759113455879, 0.43765119259404167
2018-12-31 07:22:01.048000, 5.47, 35.06976864641137, 26.19483966369203, 8.785010339436628, 0.5270815692949572
2018-12-31 07:22:02.048000, 5.51, 32.13530270804889, 23.455968091447797, 7.270164518157741, 0.37114455807031355
2018-12-31 07:22:03.048000, 5.54, 25.125049763188834, 18.840463040693333, 6.4024149147185305, 0.39522140524667776
2018-12-31 07:22:04.048000, 5.57, 24.111482347326753, 17.96154325138813, 5.969530295189157, 0.3513193111357698
2018-12-31 07:22:05.048000, 5.61, 22.844032924096254, 16.00141451260814, 4.289558926542248, 0.16810692273511627
2018-12-31 07:22:06.048000, 5.64, 15.076793757206412, 11.105340433608523, 3.5517476161905965, 0.19302104499058065
2018-12-31 07:22:07.048000, 5.68, 13.624690612562603, 10.064957765649782, 3.2512087051587013, 0.18031288331750636
2018-12-31 07:22:08.048000, 5.71, 20.90178703155294, 13.264794232809145, 2.4768923425201286, 0.05757574815415137
2018-12-31 07:22:09.048000, 5.75, 18.261279010093695, 11.380672084192337, 1.9858871181815885, 0.04256846874092778
2018-12-31 07:22:10.048000, 5.79, 11.381923244467396, 7.818425985605182, 1.95362056718793, 0.06822957313610716
2018-12-31 07:22:11.048000, 5.82, 12.918264872567047, 8.63482184947046, 1.9533616861181036, 0.05867128516816122
2018-12-31 07:22:12.048000, 5.86, 14.53978215153484, 8.055313589173236, 0.9017888632787668, 0.01250804977613219
2018-12-31 07:22:13.048000, 5.9, 6.608454017169514, 4.30484041536804, 0.8856613925171233, 0.023311150359504654
2018-12-31 07:22:14.048000, 5.94, 5.860480667174324, 3.70618211864089, 0.6830534894679813, 0.015625676811380468
2018-12-31 07:22:15.048000, 5.98, 2.0865803684775064, 1.543625107039924, 0.5010687155950271, 0.028070224250378785
2018-12-31 07:22:16.048000, 6.02, 5.737459938425681, 3.8945532764725868, 0.9320181758483864, 0.030436706699841314
2018-12-31 07:22:17.048000, 6.06, 6.211776065602021, 3.942147683646055, 0.7361045515923208, 0.01711086491328178
2018-12-31 07:22:18.048000, 6.1, 7.441884999005223, 4.0297121076231495, 0.4136332312781131, 0.0053544132004874284
2018-12-31 07:22:19.048000, 6.15, 2.955661180401106, 2.0062850212131504, 0.48013057543704724, 0.015679515572645512
2018-12-31 07:22:20.048000, 6.19, 6.246177856668699, 3.4022424241960856, 0.35712508285995953, 0.0047039320139891875
2018-12-31 07:22:21.048000, 6.24, 5.46416648770396, 3.3386435868659583, 0.5409571113588916, 0.010664645965411137
2018-12-31 07:22:22.048000, 6.28, 4.310837101374997, 2.8578869000428924, 0.6273118077714497, 0.018046681969375606
2018-12-31 07:22:23.048000, 6.32, 3.4883725617914867, 2.319061407902256, 0.5142599188286147, 0.015010045536189542
2018-12-31 07:22:24.048000, 6.38, nan, nan, nan, nan
2018-12-31 07:22:25.048000, 6.42, 18.798397777279103, 8.540242940653023, 0.4501950446409388, 0.0038916196128056355
2018-12-31 07:22:26.048000, 6.47, 7.345687345408607, 4.986208361544428, 1.1932656948361866, 0.03896820782025121
2018-12-31 07:22:27.048000, 6.52, 13.039681678240136, 8.851257446528573, 2.118223126928143, 0.06917433340872998
2018-12-31 07:22:28.048000, 6.58, 14.326019198059795, 9.332171529818833, 1.9199652565056529, 0.05053466161850663
2018-12-31 07:22:29.048000, 6.63, 15.601638631353474, 10.600698996657954, 2.545968733637834, 0.08359800386754011
2018-12-31 07:22:30.048000, 6.68, 26.706184091464273, 22.45367035936058, 10.685105931765818, 1.761693484430888
2018-12-31 07:22:31.048000, 6.74, 164.8820506221674, 129.53576100826604, 51.168870387203896, 4.537951668769029
2018-12-31 07:22:32.048000, 6.8, 129.7554730518394, 100.02573434132721, 37.222871065213084, 2.833129120768769
2018-12-31 07:22:33.048000, 6.85, 291.8051779665549, 104.13781598493858, 2.213595048977758, 0.014296509530711366
2018-12-31 07:22:34.048000, 6.92, 322.9012449882359, 123.60980506410597, 3.4159899412945745, 0.02342669036534075
2018-12-31 07:22:35.048000, 6.98, 239.30534848257557, 101.30702589540634, 4.088744978551144, 0.03161070833702783
2018-12-31 07:22:36.048000, 7.04, 176.85582274950423, 102.21033985094886, 13.427658937919894, 0.21420744101061967
2018-12-31 07:22:37.048000, 7.11, 261.59923781697495, 151.18612769619511, 19.861745512339844, 0.316848506494875
2018-12-31 07:22:38.048000, 7.18, 69.7043532818435, 42.232686427689856, 6.629825373297057, 0.12630533888525466
2018-12-31 07:22:39.048000, 7.24, 102.37190415785274, 64.74023927187325, 11.931698154072784, 0.27295206311251236
2018-12-31 07:22:40.048000, 7.32, 149.04273834626022, 78.72414649926243, 7.353116937209432, 0.0887357404518754
2018-12-31 07:22:41.048000, 7.39, 184.4028981089384, 89.32045437972084, 6.004195646174683, 0.0587759352155595
2018-12-31 07:22:42.048000, 7.47, 104.64492604762528, 50.49530460167432, 3.3457204852585654, 0.03248927454287722
2018-12-31 07:22:43.048000, 7.55, 51.45266469542364, 25.83099850124388, 1.989290858678858, 0.021101716058003563
2018-12-31 07:22:44.048000, 7.63, 54.8219476626451, 23.050017713391995, 0.9065862898945735, 0.006942442489834844
2018-12-31 07:22:45.048000, 7.72, nan, nan, nan, nan
2018-12-31 07:22:46.048000, 7.81, 9.303055998580788, 5.6842316788498595, 0.9210104251265129, 0.018157169779603112
2018-12-31 07:22:47.048000, 7.91, 25.909049638214285, 11.797238932812233, 0.6272232065710401, 0.005443555551463935
2018-12-31 07:22:48.048000, 8.01, nan, nan, nan, nan
2018-12-31 07:22:49.048000, 8.11, nan, nan, nan, nan
2018-12-31 07:22:50.048000, 8.22, 20.343431365336333, 7.880438729241593, 0.22767351156339447, 0.0015801246052214884
2018-12-31 07:22:51.048000, 8.33, 5.451986921517531, 3.274531201668315, 0.49742701976102077, 0.009153764490129434
2018-12-31 07:22:52.048000, 8.45, nan, nan, nan, nan
2018-12-31 07:22:53.048000, 8.58, nan, nan, nan, nan
2018-12-31 07:22:54.048000, 8.71, nan, nan, nan, nan
2018-12-31 07:22:55.048000, 8.86, nan, nan, nan, nan
2018-12-31 07:22:56.048000, 9.02, 0.8501211890693431, 0.6593000921953084, 0.2501107915608792, 0.019967719949318716
2018-12-31 07:22:57.048000, 9.18, nan, nan, nan, nan
2018-12-31 07:22:58.048000, 9.37, nan, nan, nan, nan
2018-12-31 07:22:59.048000, 9.56, nan, nan, nan, nan
2018-12-31 07:23:00.048000, 9.77, nan, nan, nan, nan
2018-12-31 07:23:01.048000, 10.01, nan, nan, nan, nan
2018-12-31 07:23:02.048000, 10.27, nan, nan, nan, nan
2018-12-31 07:23:03.048000, 10.57, nan, nan, nan, nan
2018-12-31 07:23:04.048000, 10.91, nan, nan, nan, nan
2018-12-31 07:23:05.048000, 11.29, nan, nan, nan, nan
2018-12-31 07:23:06.048000, 11.74, nan, nan, nan, nan
2018-12-31 07:23:07.048000, 12.26, nan, nan, nan, nan
2018-12-31 07:23:08.048000, 12.88, nan, nan, nan, nan
2018-12-31 07:23:09.048000, 13.63, nan, nan, nan, nan
2018-12-31 07:23:10.048000, 14.51, nan, nan, nan, nan
2018-12-31 07:23:11.048000, 15.52, nan, nan, nan, nan
2018-12-31 07:23:12.048000, 16.63, nan, nan, nan, nan
2018-12-31 07:23:13.048000, 17.78, nan, nan, nan, nan
2018-12-31 07:23:14.048000, 18.92, nan, nan, nan, nan
2018-12-31 07:23:15.048000, 20.03, nan, nan, nan, nan
2018-12-31 07:23:16.048000, 21.09, nan, nan, nan, nan
2018-12-31 07:23:17.048000, 22.11, nan, nan, nan, nan
2018-12-31 07:23:18.048000, 23.08, nan, nan, nan, nan
2018-12-31 07:23:19.048000, 24.02, nan, nan, nan, nan
2018-12-31 07:23:20.048000, 24.92, nan, nan, nan, nan
2018-12-31 07:23:21.048000, 25.8, nan, nan, nan, nan
2018-12-31 07:23:22.048000, 26.66, nan, nan, nan, nan
2018-12-31 07:23:23.048000, 27.5, nan, nan, nan, nan
2018-12-31 07:23:24.048000, 28.34, nan, nan, nan, nan
2018-12-31 07:23:25.048000, 29.17, nan, nan, nan, nan
2018-12-31 07:23:26.048000, 30.01, nan, nan, nan, nan
2018-12-31 07:23:27.048000, 30.84, nan, nan, nan, nan
2018-12-31 07:23:28.048000, 31.69, nan, nan, nan, nan
2018-12-31 07:23:29.048000, 32.54, nan, nan, nan, nan
2018-12-31 07:23:30.048000, 33.41, nan, nan, nan, nan
2018-12-31 07:23:31.048000, 34.3, nan, nan, nan, nan
2018-12-31 07:23:32.048000, 35.21, nan, nan, nan, nan
